,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,name
0,0.666,0.534,6,-7.286,1,0.0893,0.277,3.57e-05,0.179,0.617,100.0,audio_features,39lq5gU4lPc0rYVaRo0stH,spotify:track:39lq5gU4lPc0rYVaRo0stH,https://api.spotify.com/v1/tracks/39lq5gU4lPc0rYVaRo0stH,https://api.spotify.com/v1/audio-analysis/39lq5gU4lPc0rYVaRo0stH,197084,4,PINK BLOOD
0,0.54,0.752,11,-5.212,1,0.0267,0.159,0.0,0.363,0.462,84.033,audio_features,7CZKnz9mEt8Z638tyY5cKL,spotify:track:7CZKnz9mEt8Z638tyY5cKL,https://api.spotify.com/v1/tracks/7CZKnz9mEt8Z638tyY5cKL,https://api.spotify.com/v1/audio-analysis/7CZKnz9mEt8Z638tyY5cKL,271520,4,Eden
0,0.504,0.38,6,-11.826,0,0.037,0.642,0.857,0.0697,0.0535,123.911,audio_features,1fN2JjN9Sj2kOPJXLDovSe,spotify:track:1fN2JjN9Sj2kOPJXLDovSe,https://api.spotify.com/v1/tracks/1fN2JjN9Sj2kOPJXLDovSe,https://api.spotify.com/v1/audio-analysis/1fN2JjN9Sj2kOPJXLDovSe,178213,4,Call of Silence
0,0.599,0.932,11,-5.622,1,0.0407,0.00215,0.0,0.146,0.539,102.065,audio_features,04LCCxG3pbOYeENiyUc7Xb,spotify:track:04LCCxG3pbOYeENiyUc7Xb,https://api.spotify.com/v1/tracks/04LCCxG3pbOYeENiyUc7Xb,https://api.spotify.com/v1/audio-analysis/04LCCxG3pbOYeENiyUc7Xb,208300,4,Black Rover
0,0.56,0.952,1,-2.579,0,0.162,0.135,0.0,0.162,0.689,89.872,audio_features,4cDm9C5jhBiIyYxVhQmMwB,spotify:track:4cDm9C5jhBiIyYxVhQmMwB,https://api.spotify.com/v1/tracks/4cDm9C5jhBiIyYxVhQmMwB,https://api.spotify.com/v1/audio-analysis/4cDm9C5jhBiIyYxVhQmMwB,228267,4,往け
0,0.674,0.727,0,-9.38,1,0.0469,0.0128,0.0135,0.282,0.652,119.994,audio_features,169YBmYRX0JNR3o4CJVWXY,spotify:track:169YBmYRX0JNR3o4CJVWXY,https://api.spotify.com/v1/tracks/169YBmYRX0JNR3o4CJVWXY,https://api.spotify.com/v1/audio-analysis/169YBmYRX0JNR3o4CJVWXY,183531,4,U - English Version
0,0.367,0.896,11,-4.002,1,0.091,0.000627,0.0,0.207,0.38,170.863,audio_features,7v8wKvNQQIxkugCFFjrkaO,spotify:track:7v8wKvNQQIxkugCFFjrkaO,https://api.spotify.com/v1/tracks/7v8wKvNQQIxkugCFFjrkaO,https://api.spotify.com/v1/audio-analysis/7v8wKvNQQIxkugCFFjrkaO,184893,4,残響散歌
0,0.376,0.903,10,-4.454,1,0.0702,0.0292,0.0,0.308,0.371,165.859,audio_features,4dDBdgmfZxoLE8SR41RH70,spotify:track:4dDBdgmfZxoLE8SR41RH70,https://api.spotify.com/v1/tracks/4dDBdgmfZxoLE8SR41RH70,https://api.spotify.com/v1/audio-analysis/4dDBdgmfZxoLE8SR41RH70,280080,4,海と真珠
0,0.598,0.611,11,-5.116,1,0.0227,0.231,0.0,0.152,0.452,82.98,audio_features,3ZYKbGJ6I5adT5ozf0N6OH,spotify:track:3ZYKbGJ6I5adT5ozf0N6OH,https://api.spotify.com/v1/tracks/3ZYKbGJ6I5adT5ozf0N6OH,https://api.spotify.com/v1/audio-analysis/3ZYKbGJ6I5adT5ozf0N6OH,255633,3,Lucky Ending
0,0.669,0.751,5,-5.447,0,0.0299,0.00483,0.0237,0.326,0.833,103.976,audio_features,1YvLvyEHEUv6xuablK3kpj,spotify:track:1YvLvyEHEUv6xuablK3kpj,https://api.spotify.com/v1/tracks/1YvLvyEHEUv6xuablK3kpj,https://api.spotify.com/v1/audio-analysis/1YvLvyEHEUv6xuablK3kpj,223846,4,空と虚
